,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-17.81829,38.37389,72.76206,6.245044,0.8123883,0.802766,0.8422663,-3.545783,-4.79296,-1.3259299999999998,lstb_LayGtKfsTlVh,Lay,Sat Aug 16 12:26:47 2025,False
1,-22.30344,35.95757,82.18386,1.5223339999999999,0.722376,0.8030306,0.7730163,-5.636667999999999,-6.66833,-1.94098,lstb_LayGtKsfTlVh,Lay,Sat Aug 16 12:26:46 2025,False
2,-17.81689,37.91835,73.778,6.132998,0.7925398,0.8026559,1.013557,-2.977484,-4.266,-1.7769000000000001,lstb_LayGtKffTlVh,Lay,Sat Aug 16 12:26:45 2025,False
3,-21.69306,36.36749,81.50049,1.797172,0.7386401,0.8027664,0.668064,-5.965289,-7.0204200000000005,-1.35808,lstb_LayGtKssTlVh,Lay,Sat Aug 16 12:26:44 2025,False
4,-13.80704,33.86741,43.83266,27.324579999999997,1.048378,0.4995606,1.67565,32.5066,31.24012,-4.3068,lstb_LayGtKfsThVh,Lay,Sat Aug 16 12:26:43 2025,False
5,-15.15289,34.40588,54.2197,23.226119999999998,0.9365479,0.4994466,1.7095639999999999,28.3184,26.87419,-4.08105,lstb_LayGtKsfThVh,Lay,Sat Aug 16 12:26:42 2025,True
6,-14.01936,33.76864,45.28807,31.16948,1.020365,0.4985921,1.895014,34.113299999999995,32.522710000000004,-5.04124,lstb_LayGtKffThVh,Lay,Sat Aug 16 12:26:40 2025,True
7,-15.08483,34.77471,51.06426,20.50715,0.9628629,0.5016479,1.518596,26.8509,25.7126,-3.354,lstb_LayGtKssThVh,Lay,Sat Aug 16 12:26:39 2025,True
8,-28.14618,34.20459,86.18323,0.1706946,0.6124351,0.8025997,0.8196556,-4.658691,-5.84413,-1.01876,lstb_LayGtKfsTlVl,Lay,Sat Aug 16 12:26:38 2025,False
9,-17.80821,12.06049,79.39844,0.004038353999999999,0.4814961,0.8161909,1.9589800000000002,12.6159,10.89699,-40.9213,lstb_LayGtKsfTlVl,Lay,Sat Aug 16 12:26:37 2025,False
10,-28.49132,33.96033,86.15231,0.1382214,0.5924317,0.8025525,0.9670722999999999,-3.840702,-5.06699,-1.59093,lstb_LayGtKffTlVl,Lay,Sat Aug 16 12:26:36 2025,False
11,-24.88967,26.08057,83.89685,0.02081151,0.5191397,0.8096422,1.3071110000000001,11.2306,10.27421,-18.0678,lstb_LayGtKssTlVl,Lay,Sat Aug 16 12:26:35 2025,False
12,-15.03573,34.81826,54.44188,21.114089999999997,0.8508413,0.4984056,1.6147829999999999,24.2331,22.99102,-1.8387799999999999,lstb_LayGtKfsThVl,Lay,Sat Aug 16 12:26:34 2025,True
13,-16.57956,35.09808,58.2927,16.2107,0.7389046,0.4982033,1.3206300000000002,6.530270000000001,4.961475,-1.9203,lstb_LayGtKsfThVl,Lay,Sat Aug 16 12:26:33 2025,False
14,-15.90326,35.33209,59.93853,27.015079999999998,0.8230079,0.4974281,1.8179960000000002,26.174500000000002,24.643050000000002,-2.4292200000000004,lstb_LayGtKffThVl,Lay,Sat Aug 16 12:26:32 2025,True
15,-16.61533,35.19809,62.51804,14.874189999999999,0.7650013,0.5006189,1.463152,19.4249,18.30755,-1.19527,lstb_LayGtKssThVl,Lay,Sat Aug 16 12:26:31 2025,True
