,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-19.54979,35.06217,71.76133,8.538392,0.7764307,0.6753384,0.8237485999999999,-1.458328,-2.6152800000000003,7.045178,lstb_LayGtKttmmTtVt_29,Lay,Sat Aug 16 12:27:42 2025,False
1,-16.42904,38.41138,66.18533,11.45346,0.7365429,0.6925274,1.389201,0.23989600000000003,-1.48228,-6.582990000000001,lstb_LayGtKttmmTtVt_28,Lay,Sat Aug 16 12:27:40 2025,False
2,-16.97112,37.65255,66.9137,11.08151,0.7581807,0.6835481,1.0341909999999999,-0.6908275,-2.05872,-9.033619999999999,lstb_LayGtKttmmTtVt_27,Lay,Sat Aug 16 12:27:39 2025,False
3,-16.74037,38.10496,66.68669,11.1683,0.7470226,0.6877005,1.298313,-0.1725892,-1.8034299999999999,-9.154060000000001,lstb_LayGtKttmmTtVt_26,Lay,Sat Aug 16 12:27:38 2025,False
4,-18.09932,36.05969,69.23456,9.693946,0.768044,0.6783183,0.9085522,-1.0488419999999998,-2.29197,1.825211,lstb_LayGtKttmmTtVt_25,Lay,Sat Aug 16 12:27:37 2025,False
5,-17.87689,36.27901,69.49959,9.522147,0.7587195,0.6837254,1.053815,-0.8569146,-2.24513,5.7977430000000005,lstb_LayGtKttmmTtVt_24,Lay,Sat Aug 16 12:27:36 2025,False
6,-16.89819,38.20633,66.7121,11.11999,0.7491052,0.6882413,1.1795849999999999,-0.2089153,-1.72024,-5.01506,lstb_LayGtKttmmTtVt_23,Lay,Sat Aug 16 12:27:35 2025,False
7,-16.79612,37.57619,66.77057,11.03646,0.7494413,0.6845935,1.160067,-0.5990103,-2.09356,-6.95814,lstb_LayGtKttmmTtVt_22,Lay,Sat Aug 16 12:27:34 2025,False
8,-17.94373,36.58224,68.71724,10.02684,0.764966,0.6794796,0.9266624,-0.9647067,-2.2248599999999996,-1.45676,lstb_LayGtKttmmTtVt_21,Lay,Sat Aug 16 12:27:33 2025,False
9,-17.71545,37.47918,68.65214,10.390329999999999,0.7515252,0.6861934,1.077865,-0.6722901,-2.0842899999999998,-4.39441,lstb_LayGtKttmmTtVt_20,Lay,Sat Aug 16 12:27:32 2025,False
10,-17.27959,37.63426,67.60011,10.84685,0.7559534,0.6853585,1.076398,-0.6593975000000001,-2.07101,-5.33883,lstb_LayGtKttmmTtVt_19,Lay,Sat Aug 16 12:27:31 2025,False
11,-17.47671,37.43806,68.46082,10.358469999999999,0.7516044,0.6882816,1.1245260000000001,-0.3567338,-1.81418,-1.61299,lstb_LayGtKttmmTtVt_18,Lay,Sat Aug 16 12:27:30 2025,False
12,-18.95884,35.71746,70.66009,9.016278,0.7726555,0.676297,0.8755277,-1.191225,-2.3997200000000003,4.941604,lstb_LayGtKttmmTtVt_17,Lay,Sat Aug 16 12:27:29 2025,False
13,-18.49577,35.85078,69.95317,9.288988999999999,0.7673204,0.6778722,0.8777959000000001,-1.18694,-2.39893,3.720184,lstb_LayGtKttmmTtVt_16,Lay,Sat Aug 16 12:27:28 2025,False
14,-18.68081,35.52301,70.94781,8.7835,0.7740816,0.6785865,0.7831898,-1.362727,-2.47635,5.734832,lstb_LayGtKttmmTtVt_15,Lay,Sat Aug 16 12:27:27 2025,False
15,-18.11206,36.4694,69.31155,9.831294999999999,0.7684696,0.680715,0.8260239,-1.2520170000000002,-2.41329,1.588268,lstb_LayGtKttmmTtVt_14,Lay,Sat Aug 16 12:27:25 2025,False
16,-17.22737,37.56703,67.46574,10.87835,0.7594247,0.6850381,1.157435,-0.6038949,-2.09614,-5.74706,lstb_LayGtKttmmTtVt_13,Lay,Sat Aug 16 12:27:24 2025,False
17,-17.48271,37.36677,68.18547,10.538599999999999,0.7424014,0.6874338,1.3941459999999999,-0.17479509999999998,-1.90339,0.31290369999999995,lstb_LayGtKttmmTtVt_12,Lay,Sat Aug 16 12:27:23 2025,False
18,-16.47049,38.39656,66.27443,11.471029999999999,0.7423758,0.6897386,1.338248,-0.005940549999999999,-1.6763299999999999,-10.052800000000001,lstb_LayGtKttmmTtVt_11,Lay,Sat Aug 16 12:27:22 2025,False
19,-16.81107,37.6278,66.84423,11.08164,0.7497631,0.68689,1.221697,-0.3428546,-1.89919,-5.86475,lstb_LayGtKttmmTtVt_10,Lay,Sat Aug 16 12:27:21 2025,False
20,-17.62837,36.9887,68.60326,10.06096,0.7568721,0.6832616,1.0614670000000002,-0.8345482,-2.22931,-0.909443,lstb_LayGtKttmmTtVt_9,Lay,Sat Aug 16 12:27:20 2025,False
21,-17.15731,37.36415,67.2321,10.78399,0.7627476,0.6832128,0.9164139,-0.8752449,-2.12571,-3.7863900000000004,lstb_LayGtKttmmTtVt_8,Lay,Sat Aug 16 12:27:19 2025,False
22,-17.37396,37.59805,67.78211,10.60416,0.7522477,0.6852139,1.074134,-0.6637261,-2.0714,-4.42784,lstb_LayGtKttmmTtVt_7,Lay,Sat Aug 16 12:27:18 2025,False
23,-19.18276,35.39756,71.90443,8.425151,0.7715153,0.678573,0.813918,-1.502426,-2.64958,10.27552,lstb_LayGtKttmmTtVt_6,Lay,Sat Aug 16 12:27:17 2025,False
24,-17.59993,37.60172,68.51342,10.244019999999999,0.7549569,0.6870329,1.075061,-0.7040434999999999,-2.11256,-1.23302,lstb_LayGtKttmmTtVt_5,Lay,Sat Aug 16 12:27:16 2025,False
25,-17.2127,37.94397,67.48057,10.87746,0.7576436,0.6862539,1.050165,-0.5633072,-1.9468699999999999,-7.08972,lstb_LayGtKttmmTtVt_4,Lay,Sat Aug 16 12:27:15 2025,False
26,-18.17843,36.42356,69.80295,9.476685999999999,0.7637969,0.6826926,1.073933,-0.7982157000000001,-2.2056,3.895477,lstb_LayGtKttmmTtVt_3,Lay,Sat Aug 16 12:27:14 2025,False
27,-17.78457,37.12726,69.06421,9.972797,0.7537107,0.6865988,1.196807,-0.4826633,-2.01196,1.4004899999999998,lstb_LayGtKttmmTtVt_2,Lay,Sat Aug 16 12:27:13 2025,False
28,-17.63554,36.69192,68.79093,9.97922,0.766865,0.6823225,0.9408563000000001,-1.021809,-2.29705,0.6519182,lstb_LayGtKttmmTtVt_1,Lay,Sat Aug 16 12:27:12 2025,False
29,-18.01097,36.82293,69.2053,9.825268999999999,0.7568324,0.6831447,1.23941,-0.6212174,-2.19373,1.2769840000000001,lstb_LayGtKttmmTtVt,Lay,Sat Aug 16 12:27:11 2025,False
