,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-21.9217,39.12802,78.84214,8.324074,0.8123948,0.8029415,1.126273,11.47,10.71262,-1.16048,lstb_SchGtKfsTlVh,Sch,Sat Aug 16 13:08:12 2025,True
1,-23.70455,35.90934,83.43769,1.8388559999999998,0.722375,0.8032019,1.1074410000000001,9.59288,8.73141,-1.77301,lstb_SchGtKsfTlVh,Sch,Sat Aug 16 13:08:11 2025,True
2,-20.00319,37.68755,77.91018,7.385281999999999,0.7925448,0.8028274,1.311925,11.665700000000001,10.62416,-1.61082,lstb_SchGtKffTlVh,Sch,Sat Aug 16 13:08:10 2025,True
3,-23.44975,36.21115,83.2353,2.1171919999999997,0.7386487,0.8029041,0.8511289,8.51192,8.007289,-1.21747,lstb_SchGtKssTlVh,Sch,Sat Aug 16 13:08:08 2025,True
4,-17.1628,33.86351,50.82881,34.92042,1.048378,0.4995646,1.615719,30.991400000000002,29.74306,-4.30993,lstb_SchGtKfsThVh,Sch,Sat Aug 16 13:08:07 2025,True
5,-17.64701,34.428,58.94608,29.01966,0.9365499,0.4994415,1.6405349999999999,26.5544,25.16447,-4.08243,lstb_SchGtKsfThVh,Sch,Sat Aug 16 13:08:06 2025,True
6,-16.92339,33.80722,51.24344,40.16921,1.020364,0.4985862,1.841264,32.893499999999996,31.3176,-5.046550000000001,lstb_SchGtKffThVh,Sch,Sat Aug 16 13:08:04 2025,True
7,-17.49118,34.66973,59.64101,25.98086,0.9628637,0.5016581,1.439495,25.5782,24.48997,-3.3463600000000002,lstb_SchGtKssThVh,Sch,Sat Aug 16 13:08:03 2025,True
8,-28.10744,34.48186,86.57344,0.2102693,0.6124392,0.8026249,0.9266025,-2.9680459999999997,-4.23156,-0.9948039999999999,lstb_SchGtKfsTlVl,Sch,Sat Aug 16 13:08:02 2025,False
9,-11.9134,-9.489926,83.41098,0.00022513159999999998,0.4541081,0.8234263,2.50053,2.13948,-0.585936,-77.5899,lstb_SchGtKsfTlVl,Sch,Sat Aug 16 13:08:00 2025,False
10,-28.1711,34.21743,86.4691,0.1712322,0.5924372,0.8025483,0.9681765999999999,-3.395713,-4.61045,-1.60936,lstb_SchGtKffTlVl,Sch,Sat Aug 16 13:07:59 2025,False
11,-31.31459,29.77261,86.73133,0.033833419999999996,0.5291745,0.806037,0.9050563,-2.7422400000000002,-3.96586,-8.87669,lstb_SchGtKssTlVl,Sch,Sat Aug 16 13:07:58 2025,False
12,-16.61305,34.99564,63.26586,27.918889999999998,0.850842,0.498403,1.532027,22.9354,21.74262,-1.84133,lstb_SchGtKfsThVl,Sch,Sat Aug 16 13:07:56 2025,True
13,-19.17524,35.01651,64.30406,20.19378,0.738908,0.4982116,1.3957179999999998,7.9475,6.319666,-1.9138899999999999,lstb_SchGtKsfThVl,Sch,Sat Aug 16 13:07:55 2025,True
14,-18.21349,34.87574,56.77184,30.14208,0.823006,0.4972332,1.640515,13.9795,12.093480000000001,-2.58846,lstb_SchGtKffThVl,Sch,Sat Aug 16 13:07:54 2025,True
15,-19.1133,35.27332,65.28228,18.14531,0.7649992,0.5004754,1.2004430000000001,6.79716,5.270974,-1.32528,lstb_SchGtKssThVl,Sch,Sat Aug 16 13:07:52 2025,True
