,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),i(v1),i(vdd),i(vss),vdiff,name,type,time,OK
0,-20.66116,36.24224,72.47365,11.31931,0.7666367,0.6810624,1.2356779999999998,13.322999999999999,12.38271,6.288996,lstb_SchGtKttmmTtVt_29,Sch,Sat Aug 16 13:09:03 2025,False
1,-19.00829,37.49693,73.08772,13.45439,0.7529603,0.6857668,1.049694,1.5532,0.2076302,-7.98444,lstb_SchGtKttmmTtVt_28,Sch,Sat Aug 16 13:09:02 2025,False
2,-18.66784,38.00801,72.68693,13.58907,0.7481751,0.689143,1.244535,1.8004200000000001,0.2599086,-6.38138,lstb_SchGtKttmmTtVt_27,Sch,Sat Aug 16 13:09:01 2025,False
3,-19.59986,36.836,74.52564,12.6999,0.7556955,0.6827236,1.032567,1.3832900000000001,0.054727,-0.56385,lstb_SchGtKttmmTtVt_26,Sch,Sat Aug 16 13:08:59 2025,False
4,-21.18553,37.63318,76.42231,13.88862,0.7642629,0.6785773,0.8936622,1.43744,0.2552581,1.071545,lstb_SchGtKttmmTtVt_25,Sch,Sat Aug 16 13:08:58 2025,False
5,-18.6382,37.65588,72.51462,13.66344,0.750809,0.6863934,1.126344,1.53277,0.1096035,-7.58849,lstb_SchGtKttmmTtVt_24,Sch,Sat Aug 16 13:08:56 2025,False
6,-19.32155,37.15804,74.36858,12.74057,0.7575399,0.68504,1.070716,1.37602,0.008821694,0.5988046,lstb_SchGtKttmmTtVt_23,Sch,Sat Aug 16 13:08:55 2025,False
7,-20.05273,36.64036,75.68693,12.37407,0.7639589,0.6814691,0.9751739999999999,1.26396,-0.00685769,-0.542739,lstb_SchGtKttmmTtVt_22,Sch,Sat Aug 16 13:08:54 2025,False
8,-19.28016,37.46691,74.21425,13.02876,0.7546579,0.6857714,1.121103,1.51375,0.09705649,-5.17007,lstb_SchGtKttmmTtVt_21,Sch,Sat Aug 16 13:08:52 2025,False
9,-18.61766,37.83142,72.3137,13.76423,0.7508593,0.6848599,1.212623,1.49751,-0.011990599999999999,-11.6002,lstb_SchGtKttmmTtVt_20,Sch,Sat Aug 16 13:08:51 2025,False
10,-17.86079,38.1413,70.2625,14.485289999999999,0.7444573,0.6891224,1.384478,1.9721799999999998,0.2905318,-10.0283,lstb_SchGtKttmmTtVt_19,Sch,Sat Aug 16 13:08:49 2025,False
11,-18.87704,37.45656,72.78651,13.50723,0.754406,0.6858265,1.104007,1.57752,0.1766656,-4.31796,lstb_SchGtKttmmTtVt_18,Sch,Sat Aug 16 13:08:48 2025,False
12,-20.28913,36.40437,76.34514,12.16507,0.7690999,0.6804969,0.8922965,1.1826999999999999,-0.00513585,5.329781,lstb_SchGtKttmmTtVt_17,Sch,Sat Aug 16 13:08:47 2025,False
13,-18.16291,38.35568,71.3312,14.425939999999999,0.7469441,0.6877722,1.211988,1.70604,0.1970754,-12.3959,lstb_SchGtKttmmTtVt_16,Sch,Sat Aug 16 13:08:45 2025,False
14,-20.93208,36.82937,76.96704,12.77343,0.7739092,0.6776652,0.850268,0.9559850000000001,-0.189329,4.13291,lstb_SchGtKttmmTtVt_15,Sch,Sat Aug 16 13:08:44 2025,False
15,-20.17484,36.59419,76.10477,12.582559999999999,0.7655046,0.6815585,0.9212743999999999,1.34351,0.12671549999999998,5.202279,lstb_SchGtKttmmTtVt_14,Sch,Sat Aug 16 13:08:42 2025,False
16,-19.19462,37.62107,73.66265,13.27239,0.7535705,0.6849342,1.008614,1.4041000000000001,0.09992158,-6.8945300000000005,lstb_SchGtKttmmTtVt_13,Sch,Sat Aug 16 13:08:41 2025,False
17,-19.01848,37.52852,73.14259,13.343879999999999,0.7560693,0.684884,1.18425,1.54738,0.06661087,-4.81788,lstb_SchGtKttmmTtVt_12,Sch,Sat Aug 16 13:08:39 2025,False
18,-19.24698,37.19294,73.93409,12.95357,0.7619439,0.6813936,1.00416,1.09515,-0.205674,-5.90691,lstb_SchGtKttmmTtVt_11,Sch,Sat Aug 16 13:08:38 2025,False
19,-19.57042,37.00522,74.68127,12.58295,0.7595576,0.6832714,1.0116960000000002,1.25463,-0.0534398,-0.49326000000000003,lstb_SchGtKttmmTtVt_10,Sch,Sat Aug 16 13:08:37 2025,False
20,-20.77046,37.86178,76.27003,13.589269999999999,0.7664455,0.6836295,0.9355061,1.35103,0.1211089,1.072911,lstb_SchGtKttmmTtVt_9,Sch,Sat Aug 16 13:08:35 2025,False
21,-18.87803,37.45722,73.35843,13.26334,0.7574907,0.6857932,1.0585440000000002,1.38205,0.02705306,-3.4459,lstb_SchGtKttmmTtVt_8,Sch,Sat Aug 16 13:08:34 2025,False
22,-19.07792,37.34894,73.38746,13.2486,0.7577263,0.6847422,1.0497230000000002,1.4350100000000001,0.08857079,-3.79174,lstb_SchGtKttmmTtVt_7,Sch,Sat Aug 16 13:08:32 2025,False
23,-20.67959,37.27167,76.54417,13.19193,0.7662222,0.6800647,0.9545787,1.31143,0.06188335999999999,0.6633327,lstb_SchGtKttmmTtVt_6,Sch,Sat Aug 16 13:08:31 2025,False
24,-19.60386,37.41788,70.9349,12.47325,0.7525455,0.6861798,1.4447619999999999,13.6585,12.508980000000001,-0.283623,lstb_SchGtKttmmTtVt_5,Sch,Sat Aug 16 13:08:30 2025,True
25,-20.01119,36.42724,75.6079,12.2059,0.7673745,0.6779934,0.8936687,0.9477530000000001,-0.242028,2.187736,lstb_SchGtKttmmTtVt_4,Sch,Sat Aug 16 13:08:28 2025,False
26,-20.80978,35.44375,73.1538,11.035929999999999,0.7652839,0.6793142,1.148463,13.2449,12.39177,8.423389,lstb_SchGtKttmmTtVt_3,Sch,Sat Aug 16 13:08:27 2025,False
27,-20.6861,35.84347,75.22075,10.67165,0.7609053,0.6847336,1.274055,13.2309,12.25115,10.793830000000002,lstb_SchGtKttmmTtVt_2,Sch,Sat Aug 16 13:08:25 2025,False
28,-19.77305,36.83932,75.44075,12.34507,0.7642679,0.6822713,0.9046685,1.03499,-0.165875,1.3312249999999999,lstb_SchGtKttmmTtVt_1,Sch,Sat Aug 16 13:08:24 2025,False
29,-18.66863,37.91386,72.80804,13.577969999999999,0.745954,0.6871514,1.206288,1.56084,0.05754737,-7.45794,lstb_SchGtKttmmTtVt,Sch,Sat Aug 16 13:08:23 2025,False
